model,option
albert128,"llb"
aweme_video_medical_mm_bs_2,"--"
bert128,"llb"
bert256,"llb"
bert384,"llb"
bert384_large,"llb"
bert512,"llb"
conformer_speech_medium-pt-fp32,"--"
conformer_speech_small-pt-fp32,"--"
content_classify_onnx_fp32_31,"--"
deep_interest_eval_modify_64,"--"
efficientnet_b0_tf_fp32_32batch,"--"
efficientnet_b1_tf_fp32,"--"
efficientnet_b5_tf_fp32_8batch,"--"
model_politics_scorer_64_fp32_11_opt,"--"
open_albert-torch-fp32,"--"
preclk_sail_opt,"--"
resnet101,"llb"
resnet101v2,"--"
resnet152v2,"--"
resnet50v2,"--"
seresnet50,"llb"
vision_transformer,"--"
xception,"--"
gip_cypher_ltr_onnx_fp32_11,"--"
bert_256_fever_review_nlp_e2e_eco_rate_opt,"--"
